,Sentiment,Sentiment Num,Multi,Prediction,Text,Correct2_A,Correct5_A,Correct2_B,Correct5_B,Correct2_C,Correct5_C,Correct2_D,Correct5_D
762,Positive,1,1,-1,  The   perfect  film   for   those   who   like    sick  comedies   that   can   be  snide  .,no,no,yes,yes,yes,yes,yes,yes
763,Neutral,0,0,1,"  `   Charly  '  will     divide   its  audience   in     two   separate  groups  ,   those    reaching   for     more  tissues  and  those   begging   for  mercy  ...",yes,yes,yes,yes,yes,yes,yes,yes
767,Positive,1,2,1,"  Sharp  ,    lively  ,     funny  and  ultimately   sobering  film  .",yes,yes,yes,yes,yes,yes,yes,yes
768,Positive,1,1,1," Though     the   film  's  scenario     is  certainly  not  earthshaking   ,     this  depiction   of   fluctuating   female  sexuality    has     two   winning   lead  performances  and   charm   to  spare  .",yes,yes,yes,yes,yes,yes,yes,yes
769,Positive,1,1,1,   A   worthy  tribute   to     a   great  humanitarian  and   her   vibrant   `  co-stars  .  ',yes,yes,yes,yes,yes,yes,yes,yes
770,Positive,1,1,1,"  A   recent  favourite   at    Sundance  ,   this   white-trash  satire    will   inspire    the  affection   of    even   those   unlucky  people   who   never   owned    a  cassette   of    Def   Leppard  'sPyromania  .",yes,yes,yes,yes,yes,yes,yes,yes
771,Neutral,0,0,1, The   recording  session     is    the   only  part   of   the  film      that   is  enlightening  --  and   how    appreciative   you   are   of  this   depends   on    your  level   of  fandom  .,no,no,yes,yes,no,yes,yes ,yes
772,Positive,1,1,1," Occasionally    funny   and   consistently  odd    ,  and  it    works   reasonably   well   as    a   star  vehicle   for  Zhao  .",yes,yes,yes,yes,yes,yes,yes,yes
773,Neutral,0,0,-1,"    Bright   seems     alternately  amused  and   disgusted   with   this  material  ,  and   he    ca  n't   help   throwing   in    a  few   of   his   own  touches  .",no,no,yes,yes,yes,yes,yes,yes
774,Positive,1,2,1," The   3D  images   only    enhance      the   film  's   otherworldly  quality  ,     giving  it    a   strange  combo   of   you-are-there  closeness   with    the   disorienting  unreality   of    the    seemingly broken-down  fourth  wall   of   the   movie  screen  .",yes,yes,yes,yes,yes,yes,yes,yes
775,Neutral,0,0,-1,"Andersson    creates      a  world   that   's      at  once  surreal  and   disturbingly  familiar  ;     absurd  ,  yet   tremendously  sad  .",no,no,yes,yes,no,yes,yes,yes
776,Positive,1,1,1,"    It   's  predictable  ,  but   it   jumps   through    the   expected  hoops   with    style  and   even   some  depth  .",no,no,yes,yes,yes,yes,yes,yes
777,Positive,1,2,1," Often   hilarious   ,   well-shot   and    ,   importantly  ,  entertaining   ,    Hell  House    is    a   fascinating  document   of    an  event   that   has   to   be   seen   to   be  believed  .",no,no,yes,yes,yes,yes,yes,yes
778,Positive,1,2,-1," De  Oliveira      creates    an         emotionally  rich  ,   poetically  plump  and   visually  fulsome   ,   but   never   showy  ,  film   whose    bittersweet  themes   are  reinforced  and   brilliantly personified   by   Michel  Piccoli  .",yes,yes,yes,no,yes,yes,yes,yes
781,Positive,1,2,1,  The  fact   that    The  Rookie   is    a    nearly  impeccable   cinematic  experience     --  and    a   wonderful   all-ages  triumph  besides  --    is    a  miracle   akin   to    the  story    the (2 film portrays  .,yes,yes,yes,yes,yes,yes,yes,yes
782,Positive,1,2,-1,  A   deviant   topical  comedy   which   is   funny  from    start   to  finish  .,no,no,yes,yes,yes,yes,yes,yes
783,Positive,1,1,1,  A   startling   and   fresh  examination   of   how    the  bike   still   remains    an   ambiguous  icon   in   Chinese  society  .,no,no,yes,yes,no,yes,yes,yes
784,Positive,1,2,-1,"   A    highly  intriguing  thriller  ,   coupled   with     some   ingenious   plot  devices  and  some   lavishly    built   settings  .  .",yes,yes,yes,yes,yes,yes,yes,yes
786,Positive,1,2,1," As  Hugh   Grant        says  repeatedly   throughout   the  movie  ,  `  Lovely  !",yes,yes,yes,yes,yes,yes,yes,yes
787,Positive,1,2,1, Brilliant  !  ',yes,yes,yes,yes,yes,yes,yes ,no
788,Positive,1,2,-1,"Cho    's   fearless   in    picking  apart      human  foibles  ,   not  afraid   to   lay    her  life   bare   in   front   of   an  audience  .",no,no,yes,yes,yes,yes,yes,yes
789,Positive,1,2,1, Her    delivery  and  timing    are  flawless  .,yes,yes,yes,yes,yes,yes,yes,yes
790,Positive,1,1,-1," Works  because   ,    for   the   most  part   ,   it    avoids     the   stupid  cliches  and    formulaic  potholes   that   befall   its  brethren  .",yes,yes,yes,yes,yes,yes,yes,yes
792,Positive,1,2,-1,  An   amazing   and   incendiary  movie  that    dives   straight   into    the   rough  waters   of  contradiction  .,yes,yes,yes,yes,yes,yes,yes,yes
795,Positive,1,1,-1,"    A    miniscule  little  bleep   on   the   film  radar  ,  but   one      that  many  more  people   should   check  out",yes,yes,yes,yes,yes,yes,yes,yes
796,Positive,1,2,1,"     A  slick  ,   well-oiled  machine  ,     exquisitely  polished  and  upholstered  .",yes,yes,yes,yes,yes,yes,yes,yes
797,Positive,1,1,1,"     Do  n't   plan   on   the   perfect  ending  ,  but    Sweet   Home  Alabama    hits   the  mark   with   critics   who   escaped   from   a   small   town  life  .",yes,yes,yes,yes,yes,yes,yes,yes
799,Positive,1,1,1, The  movie     stays  afloat   thanks   to   its   hallucinatory   production  design  .,yes,yes,yes,yes,yes,yes,yes,yes
800,Positive,1,1,1,"It    helps      that    the   central  performers   are   experienced  actors  ,  and   that   they    know   their  roles   so  well  .",yes,yes,yes,yes,yes,yes,yes,yes
801,Positive,1,1,-1,"  A   provocative  movie   about   loss   ,   anger   ,   greed   ,   jealousy   ,    sickness  and  love  .",no,no,yes,yes,no,yes,yes,yes
802,Positive,1,1,1, Worth   the   effort   to  watch  .,yes,yes,yes,yes,yes,yes,yes,yes
803,Positive,1,2,1,   That   rara  avis  :    the   intelligent   romantic  comedy   with    actual  ideas   on   its  mind  .,yes,no,yes,yes,no,yes,yes,yes
805,Positive,1,2,1,Hawke     draws  out     the  best   from    his   large  cast   in    beautifully  articulated  portrayals   that   are    subtle  and   so   expressive   they   can   sustain    the   poetic  flights   in    Burdette 's  dialogue  .,no,no,yes,yes,yes,yes,yes,yes
806,Positive,1,1,1,"  A  work   of   the   utmost    subtlety  and  perception   ,   it    marks    the   outstanding   feature  debut   of     writer-director   Eric  Byler  ,   who   understands      the  power   of   the  implicit (2 and   (2 the  virtues   of    simplicity  and  economy  .",no,no,yes,yes,yes,yes,yes,yes
808,Positive,1,2,1,"It     turns  out   to     be    a  cut   above   the  norm  ,   thanks   to     some   clever  writing  and   sprightly  acting  .",yes,yes,yes,no,yes,yes,yes,yes
809,Positive,1,1,1,"    You    might  not   want   to    hang  out   with  Samantha  ,  but   you    'll  probably    see    a  bit   of  yourself   in   her   unfinished  story  .",no,no,yes,yes,no,yes,yes,yes
810,Positive,1,1,1,"    A  work   of   intricate  elegance  ,   literary    lyricism  and   profound   common  sense  .",yes,no,yes,yes,no,yes,yes,yes
812,Positive,1,2,1,"  Thoughtful  ,    provocative  and  entertaining  .",yes,yes,yes,yes,yes,yes,yes,yes
815,Positive,1,1,1,"    You   have   to    pay  attention   to   follow   all   the  stories  ,  but   they    're  each  interesting  .",yes,yes,yes,yes,yes,yes,yes,yes
817,Neutral,0,0,-1,    Enjoy  it   for   what   it  is  ;   you   can    hate  yourself  later  .,yes,yes,yes,yes,yes,yes,yes,yes
818,Positive,1,2,1,  A  map   of    the   inner  rhythms   of   love   and    jealousy  and  sacrifice    drawn   with    a   master  's   steady  stroke  .,yes,no,yes,yes,no,yes,yes,yes
819,Positive,1,2,1,   A   psychological  thriller   with     a   smart  script  and    an   obsessive-compulsive  's  attention   to  detail  .,yes,yes,yes,yes,yes,yes,yes,yes
821,Positive,1,2,1," At   times    funny  and   at    other  times   candidly  revealing   ,   it    's    an   intriguing  look   at    two  performers   who     put  themselves   out  there   because   they   love   what   they do .",yes,yes,yes,yes,yes,yes,yes,yes
822,Positive,1,1,1,  Westfeldt  and  Juergensen    exude    a   chemistry   and   comfort  level   that   's   both    saucy  and  endearing  .,yes,no,yes,yes,no,yes,yes,yes
823,Positive,1,1,1,"   Harsh   ,   effective  documentary   on  life   in   the   Israeli-occupied   Palestinian  territories  .",no,no,yes,yes,no,yes,yes,yes
824,Positive,1,2,1,"     The  film    is  all   a    little  Lit   Crit  101  ,  but   it   's     extremely   well  played  and   often   very  funny  .",yes,yes,yes,yes,yes,yes,yes,yes
826,Positive,1,1,1,"  A   real  story   about    real  people   living   their  lives    concerned   about    the  future   of   an   elderly   ,   mentally   handicapped   family  member  .",no,no,yes,yes,no,yes,yes,yes
827,Positive,1,1,1,It     's   absolutely  spooky   how   Lillard     channels   the  Shagster   right  down   to   the   original   Casey   Kasem-furnished  voice  .,yes,no,yes,yes,yes,yes,yes,yes
828,Positive,1,2,1, A  dream    cast   of    solid   female  talent   who   build   a   seamless  ensemble  .,yes,yes,yes,yes,yes,yes,yes,yes
829,Positive,1,1,1,There     is  n't    a     weak  or  careless  performance   amongst  them  .,yes,yes,yes,yes,yes,yes,yes,yes
830,Positive,1,1,1," Smart  science      fiction   for  grown-ups  ,   with     only   a  few   false  steps   along   the  way  .",yes,yes,yes,yes,yes,yes,yes,yes
831,Positive,1,1,1,It    's    a   refreshing  change   from    the    self-interest  and  paranoia   that   shape     most  American  representations   of  Castro  .,yes,yes,yes,yes,yes,yes,yes,yes
833,Positive,1,1,-1," Though     the   controversial   Korean   filmmaker  's   latest  effort    is  not   for   all  tastes   ,   it    offers        gorgeous  imagery  ,   effective  performances  ,  and    an    increasingly  unsettling sense (2  of  foreboding  .",yes,yes,yes,yes,yes,yes,yes,yes
834,Positive,1,2,-1,"      Lathan  and  Diggs   have   considerable   personal  charm  ,  and    their   screen  rapport   makes    the   old  story   seem  new  .",yes,yes,yes,yes,yes,yes,yes,yes
835,Positive,1,2,1,"     The  story    may  not   be  new  ,  but       Australian   director   John  Polson  ,   making   his   American   feature  debut  ,     jazzes  it  up  adroitly  .",yes,yes,yes,yes,yes,yes,yes,yes
836,Positive,1,1,1,"It       's  endearing   to   hear       Madame  D.    refer   to   her  husband     as  `  Jackie  '  --  and   he   does   make   for   excellent  company  ,   not   least   as   a   self-conscious performer  .",yes,yes,yes,yes,yes,yes,yes,no
838,Positive,1,1,1, More  than      makes  up   for    its  mawkish   posing   by  offering    rousing  spates   of   genuine  feeling  .,yes,yes,yes,yes,yes,yes,yes,yes
839,Negative,-1,-1,-1,It    's   neither     as  romantic  nor    as  thrilling   as   it   should  be  .,yes,yes,yes,yes,yes,yes,yes,yes
840,Positive,1,1,1,But   it     offers  plenty   to    ponder  and    chew  on   as    its   unusual  relationship   slowly  unfolds  .,yes,no,yes,yes,yes,yes,yes,yes
841,Positive,1,2,1,"     Occasionally  funny  ,   always   very  colorful  and   enjoyably   overblown   in   the   traditional   AlmodÃ³var  style  .",no,no,yes,yes,yes,yes,yes,yes
842,Positive,1,1,1,Merchant   effectively     translates     Naipaul  's   lively  mix   of   characters   from   the  page   to  screen  .,yes,yes,yes,yes,yes,yes,yes,yes
844,Positive,1,1,-1," What   could   have   become  just    another   cautionary  fable    is   allowed   to       play  out   as   a   clever   ,   charming  tale  --   as   pleasantly   in   its   own  way   as   its self-dramatizing characters  .",yes,no,yes,yes,no,yes,yes,yes
845,Positive,1,2,1,Davis    has     filled  out   his  cast   with   appealing   fresh  faces  .,yes,no,yes,yes,no,yes,yes,yes
846,Positive,1,1,1,  Achieves    a  sort   of   filmic  epiphany    that  revels   in    the   true  potential   of   the  medium  .,yes,yes,yes,yes,yes,yes,yes,no
847,Positive,1,1,-1, Once   you   get   into   its  rhythm   ...    the  movie    becomes   a   heady  experience  .,no,no,yes,yes,no,yes,yes,yes
848,Positive,1,2,1,   A     fast-moving  and  remarkable  film   that  appears   destined   to   become    a  landmark   in   Japanese  animation  .,yes,yes,yes,yes,yes,yes,yes,yes
850,Positive,1,2,1, -LRB-   Broomfield  -RRB-    uncovers    a  story    powerful  enough   to    leave   the   screen  sizzling   with  intrigue  .,no,no,yes,yes,yes,yes,yes,yes
852,Positive,1,1,1,"  A   sweet-natured  reconsideration   of   one   of    San   Francisco  's     most  vital   ,    if  least   widely   recognized  ,   creative  fountainheads  .",yes,yes,yes,yes,yes,yes,yes,yes
853,Positive,1,2,-1,"    This   is   one   of    the      most   visually  stunning  and   thematically  moving  epics   in   recent  memory  ,  and    in   spite   of   numerous   minor  flaws   ,   Scorsese   's   best  (2 in  more  than  a  decade  .",no,no,yes,yes,yes,yes,yes,yes
854,Positive,1,2,1,Everywhere    the  camera    looks   there   is    something  worth  seeing  .,yes,no,yes,yes,no,yes,yes,yes
855,Positive,1,2,1, A     richly  imagined  and   admirably  mature    work   from    a   gifted  director   who   definitely   has   something   on   his  mind  .,no,no,yes,yes,yes,yes,yes,yes
856,Positive,1,1,-1,"It    's      a   nicely   detailed  world   of   pawns   ,    bishops  and  kings  ,   of   wagers   in     dingy  backrooms  or   pristine  forests  .",yes,yes,yes,yes,yes,yes,yes,yes
857,Positive,1,2,1,"   A    charming   ,    quirky  and  leisurely   paced   Scottish  comedy  --   except   with    an   outrageous   central  gimmick   that   could   have   been    a  reject   from     Monty   Python  's  Meaning of Life  .",yes,yes,yes,yes,yes,yes,yes,yes
858,Positive,1,2,1,It   never    fails   to   engage  us  .,yes,yes,no,no,yes,yes,yes,yes
859,Positive,1,1,1,"      Its  direction  ,   its  script  ,  and     Weaver  's  performance   as    a   vaguely   discontented  woman   of  substance      make   for    a   mildly  entertaining   77  minutes  ,   if   that s (3  what  you    're   in   the  mood  for  .",no,no,yes,yes,no,yes,yes,yes
860,Positive,1,2,1,  A   charming   romantic  comedy  that    is      by  far   the   lightest   Dogme  film  and   among   the   most  enjoyable  .,yes,yes,yes,no,yes,yes,yes,yes
861,Positive,1,1,1,"    This   is     the  kind   of  movie   that   used   to    be   right   at  home   at   the   Saturday  matinee  ,  and   it   still  is  .",yes,yes,yes,yes,yes,yes,yes,no
862,Positive,1,1,1,  The  spark   of   special   anime  magic   here    is     unmistakable  and  hard   to  resist  .,no,no,yes,yes,yes,yes,yes,yes
865,Positive,1,1,1, The  visuals   alone    make   Metropolis   worth  seeing  .,yes,yes,yes,yes,yes,yes,yes,no
867,Positive,1,1,1,"A    picture   that    extols    the  virtues   of    comradeship  and  community   in   a   spunky   ,   spirited  fashion  .",no,no,yes,yes,yes,yes,yes,yes
868,Positive,1,1,-1,"  A   resonant  tale   of   racism   ,    revenge  and  retribution  .",yes,yes,yes,yes,yes,yes,yes,yes
869,Positive,1,1,1,  Noyce  's  film    is    contemplative  and   mournfully  reflective  .,no,no,yes,yes,no,yes,yes,yes
870,Positive,1,1,1,"Here   ,    Adrian  Lyne    comes   as   close   to   profundity   as   he   is   likely   to  get  .",no,no,yes,yes,no,yes,yes,yes
872,Positive,1,2,-1,"Rain      is   a   small  treasure  ,   enveloping     the  viewer   in   a   literal   and   spiritual  torpor   that   is    anything  but  cathartic  .",yes,no,yes,yes,no,yes,yes,yes
873,Positive,1,2,1," An  elegant   ,   exquisitely    modulated   psychological  thriller  .",yes,yes,yes,yes,yes,yes,yes,yes
874,Positive,1,1,-1,"    This  concoction  ,   so   bizarre   to   the   adult  mind  ,     is  actually    a   charming  triumph   where    its   intended   under-12  audience   is  concerned  .",no,no,yes,yes,yes,yes,yes,yes
876,Positive,1,2,1,It    's    a   beautifully   accomplished   lyrical  meditation   on    a  bunch   of      despondent  and  vulnerable  characters   living   in   the   renown   Chelsea  Hotel  ...,yes,no,yes,yes,no,yes,yes,yes
877,Neutral,0,0,1,  Is  it   a   total  success  ?,yes,yes,yes,yes,yes,yes,yes,yes
879,Neutral,0,0,1,  Is  it   something    any   true   film  addict   will   want   to   check  out  ?,no,no,yes,yes,no,yes,yes,yes
880,Neutral,0,0,0,You   bet  .,no,no,yes,yes,no,yes,yes,yes
881,Positive,1,1,1,"Zany   ,    exuberantly   irreverent   animated   space  adventure  .",no,no,yes,yes,no,yes,yes,yes
884,Positive,1,2,1,  A      refreshingly  honest  and   ultimately  touching  tale   of    the  sort   of  people   usually    ignored   in   contemporary   American  film  .,yes,yes,yes,yes,yes,yes,yes,yes
889,Positive,1,1,1,"    Funny  and   ,    at  times  ,    poignant  ,   the  film   from   director   George  Hickenlooper   all      takes  place   in     Pasadena  ,  ``    a  city   where   people   still  read  .'",yes,yes,yes,yes,yes,yes,yes,yes
890,Neutral,0,0,-1, This  horror-comedy     does  n't     go   for    the   usual   obvious  laughs   at    the  expense   of   cheap-looking  monsters  --   unless   you   count    Elvira  's  hooters  .,no,no,yes,yes,no,yes,yes,yes
891,Positive,1,1,1,"  The   movie  's   eventual  success   should   be     credited   to   Dennis  Quaid  ,   in    fighting   trim  shape   as     an  athlete   as   well  as   an  actor",yes,no,yes,yes,yes,yes,yes,yes
892,Positive,1,1,1,Not     a   bad  journey   at  all  .,yes,yes,yes,yes,yes,yes,yes,yes
893,Positive,1,1,1,Sits       uneasily   as   a   horror  picture  ...  but    finds    surprising  depth   in   its  look   at    the  binds   of   a   small  family  .,yes,yes,yes,yes,yes,yes,yes,yes
894,Positive,1,1,1,"    Windtalkers   blows     this  way  and  that  ,  but   there   's   no      mistaking   the  filmmaker   in   the   tall  grass  ,   true   to  himself  .",yes,yes,yes,no,yes,yes,yes,yes
895,Positive,1,2,1,"   There   is    a   refreshing  absence   of   cynicism   in   Stuart   Little  2  --    quite   a  rarity   ,   even   in   the   family   film  market  .",yes,yes,yes,yes,yes,yes,yes,yes
896,Positive,1,1,1,"Eventually   ,   it     wins  you  over  .",yes,yes,yes,yes,yes,yes,yes,yes
897,Neutral,0,0,-1, Noyce  films     it  more   as   a   shocking   history  lesson    than   as  drama  .,no,no,yes,yes,no,yes,yes,yes
899,Neutral,0,0,1, Those   with    an  interest   in    new   or   singular  sorts   of   film  experiences    will   find   What   Time    Is  It  There  ?,yes,yes,yes,yes,yes,yes,yes,yes
900,Positive,1,2,1, well   worth   the  time  .,yes,yes,yes,yes,yes,yes,yes,yes
901,Positive,1,2,-1, A    wildly  funny  prison   caper  .,yes,yes,yes,yes,yes,yes,yes,yes
902,Positive,1,2,-1,"Huppert     gives  Erika    a  persona   that    is   so  intriguing   that   you   find   yourself        staring  hypnotically   at  her  ,   trying   to   understand  her  and   wondering   if   she   'll  crack  .",yes,yes,yes,yes,yes,yes,yes,yes
903,Positive,1,2,1,"     Despite  what   anyone   believes     about   the  goal   of     its  makers  ,   the  show   ...   represents    a   spectacular  piece   of  theater  ,  and   there   's   no   denying    the talent of   the   creative  forces   behind  it  .",yes,yes,yes,yes,yes,yes,yes,yes
904,Positive,1,2,1,"You    'll      be   left   with    the  sensation   of    having  just   witnessed   a   great  performance  and   ,   perhaps  ,    give  in   to   the   urge   to     get   on   your  feet  and (3  shake it  .",yes,yes,yes,yes,yes,yes,yes,yes
906,Positive,1,1,1,  The  reason   this  picture    works   better   than    its  predecessors   is   that   Myers    is   no  longer   simply   spoofing    the  mini-mod-madness   of   '60s   spy  movies  .,yes,yes,yes,yes,yes,yes,yes,yes
907,Positive,1,2,1,"It    is    a   kickass   ,   dense   sci-fi   action   thriller  hybrid   that    delivers  and   then  some  .",yes,yes,yes,yes,yes,yes,yes,yes
908,Neutral,0,0,-1,"I     have  n't    seen  one   in     so  long  ,    no  wonder   I    did  n't    recognize  it   at  first  .",yes,yes,yes,no,yes,yes,yes,yes
909,Positive,1,1,1, a   compelling  portrait   of   moral  emptiness,yes,yes,yes,yes,yes,yes,yes,yes
911,Positive,1,1,1,"    It     is  ridiculous  ,   of  course  ...  but   it     is  also       refreshing  ,  disarming  ,  and   just   outright  enjoyable   despite   its  ridiculousness  .",yes,no,yes,yes,no,yes,yes,yes
912,Positive,1,2,-1,...    Blade  II    is   more   enjoyable   than   the  original  .,yes,yes,yes,yes,yes,yes,yes,yes
913,Positive,1,1,1,    A  film   that    takes  you   inside    the  rhythms   of   its  subject  :   You    experience  it   as   you  watch  .,yes,yes,yes,yes,yes,yes,yes,yes
914,Positive,1,1,1, The  movie    exists   for     its   soccer  action  and   its   fine  acting  .,yes,yes,yes,yes,yes,yes,yes,yes
916,Positive,1,1,-1, The  film       starts   out   as    competent  but  unremarkable  ...  and   gradually   grows   into   something   of   considerable  power  .,yes,yes,yes,yes,yes,yes,yes,yes
917,Negative,-1,-2,-1," Nothing  Denis    has   made   before   ,    like     Beau  Travil  and    Nenette  et  Boni   ,   could    prepare  us   for    this   gory   ,   perverted   ,   sex-soaked  riff   on   the   cannibal genre  .",yes,yes,yes,yes,yes,yes,yes,yes
918,Positive,1,1,1," Reinforces    the  talents   of       screenwriter   Charlie  Kaufman  ,   creator   of  Adaptation  and   Being   John  Malkovich  .",yes,yes,yes,no,yes,yes,yes,yes
919,Positive,1,2,1,"    Greene   delivers    a    typically  solid  performance   in    a  role   that   is    a  bit   of    a  departure   from    the   noble  characters   he   has   played   in   the  past  ,  and  (2 he  is  matched   by    Schweig  ,   who   carries    the  film   on   his   broad   ,   handsome  shoulders  .",yes,no,yes,yes,no,yes,yes,yes
920,Positive,1,2,1,"  Finds   a  way   to    tell      a   simple  story  ,    perhaps   the   simplest  story   of  all  ,   in    a  way   that   seems    compelling  and   even  original  .",yes,yes,yes,yes,yes,yes,yes,yes
921,Positive,1,2,1,"  A   stunning  piece   of    visual  poetry   that      will  ,  hopefully  ,   be    remembered   as   one   of   the    most  important  stories   to   be   told   in    Australia  's   film  history (2 .",yes,no,yes,yes,no,yes,yes,yes
924,Positive,1,2,-1,Invincible    is   a   wonderful  movie  .,yes,no,yes,yes,no,yes,yes,yes
925,Positive,1,2,1,"...     a     cute  and   sometimes  side-splittingly   funny  blend   of     Legally  Blonde  and   Drop   Dead  Gorgeous   ,    starring    Piper  Perabo   in  what    could   be   her   breakthrough  role .",yes,yes,yes,yes,yes,yes,yes,yes
926,Positive,1,2,1,"    Dazzling  and  sugar-sweet  ,     a  blast   of   shallow  magnificence   that         only  sex  ,  scandal  ,  and    a   chorus  line   of   dangerous  damsels   can  deliver  .",yes,yes,yes,yes,yes,yes,yes,yes
928,Positive,1,1,1,   Japan  's   premier  stylist   of    sex  and  blood     hits  audiences   with   what   may   be    his    most  demented  film   to  date  .,yes,yes,yes,yes,yes,yes,yes,yes
929,Positive,1,1,1,"   Culkin  ,   who   's   in   virtually   every  scene  ,    shines   as     a   young  man   who   uses  sarcastic   lies   like   a  shield  .",yes,yes,yes,yes,yes,yes,yes,yes
931,Neutral,0,0,1,  The   AM-radio   soundtrack   and   game  cast   --     Tierney  and   the   inimitable   Walken  especially  --     keep   this   unusual  comedy   from   choking   on   its   own  conceit  .,no,no,yes,yes,no,yes,yes,yes
933,Positive,1,1,1,"Marvelous   ,      merry  and   ,   yes  ,   melancholy  film  .",yes,yes,yes,yes,yes,yes,yes,yes
934,Positive,1,1,1," From   spiritual    rebirth   to  bruising  defeat   ,     Vincent  's  odyssey    resonates   in     a   profound  way  ,   comparable   to    the   classic  films   of   Jean  Renoir  .",yes,yes,yes,no,yes,yes,yes,yes
935,Positive,1,2,1,"Novak    manages   to    capture    a    cruelly  hilarious  vein   of   black  comedy   in    the  situation   with    his  cast   of    non-actors  and   a   gritty   ,   no-budget  approach  .",yes,yes,yes,no,yes,yes,yes,yes
936,Neutral,0,0,-1,Insomnia    is  involving  .,yes,yes,yes,yes,yes,yes,yes,yes
938,Neutral,0,0,1,There    was   time   on   that   second   round   to   see    the  subtleties   of     Ramsay  's  portrait   of  grief  .,yes,yes,yes,yes,yes,yes,yes,yes
939,Positive,1,1,1,"       We   can   see    the  wheels  turning  ,  and   we   might    resent  it  sometimes  ,  but   this    is  still     a   nice   little  picture  ,    made   by   bright   and   friendly  souls with   a  lot   of   good  cheer  .",yes,yes,yes,yes,yes,yes,yes,yes
940,Positive,1,2,1,"   A     comprehensive  and  provocative  film  --   one   that      pushes    the  boundaries   of  biography  ,  and   challenges   its  audience  .",yes,no,yes,yes,no,yes,yes,yes
941,Positive,1,2,1,  The  way   Coppola    professes   his  love   for   movies   --       both   colorful   pop  junk  and   the  classics   that   unequivocally   qualify   as  art  --    is   giddily  entertaining  .,yes,yes,yes,yes,yes,yes,yes,yes
942,Positive,1,2,1, A   worthwhile  way    to   spend   two  hours  .,yes,no,yes,yes,no,yes,yes,yes
943,Negative,-1,-2,1,   Francophiles   will   snicker  knowingly  and   you   'll   want   to   slap  them  .,yes,no,yes,yes,no,yes,yes,yes
944,Positive,1,2,1,"Sensitive   ,     insightful  and  beautifully    rendered  film  .",yes,no,yes,yes,no,yes,yes,yes
945,Positive,1,2,1, One   of    the  best   of   the  year  .,yes,yes,yes,yes,yes,yes,yes,yes
946,Positive,1,2,1,"     A  love   for  films   shines   through   each  frame  and    the  era   is   recreated   with     obvious  affection  ,    scored   to  perfection   with   some   tasty   boogaloo  beats  .",yes,yes,yes,yes,yes,yes,yes,yes
947,Positive,1,2,-1,"   Throwing  caution   to    the  wind   with   an  invitation   to     the  hedonist   in  us  all   ,   Nair    has    constructed    this   motion  picture   in   such   a  way   that     even  the  most cynical  curmudgeon  with   find     himself  or  herself   smiling   at     one  time  or  another  .",yes,yes,yes,yes,yes,yes,yes,yes
949,Positive,1,2,-1,"  An   endlessly   fascinating   ,   landmark  movie   that   is   as   bold   as   anything   the  cinema    has   seen   in  years  .",yes,yes,yes,yes,yes,yes,yes,yes
950,Negative,-1,-1,1,"...      a   haunting  vision  ,   with   images   that    seem  more   like   disturbing  hallucinations  .",yes,yes,yes,yes,yes,yes,yes,yes
951,Positive,1,1,1,It     is  not    a   mass-market  entertainment   but     an   uncompromising  attempt   by   one  artist   to   think   about  another  .,yes,yes,yes,no,yes,yes,yes,yes
952,Neutral,0,0,-1,Frailty     is  n't   as    gory  or  explicit  .,no,no,yes,yes,no,yes,yes,yes
954,Positive,1,2,1,"Mixes    likeable       personalities  ,   inventive    photography  and  cutting  ,  and   wall-to-wall   toe-tapping   music   to   paint    a  picture   of    a  subculture   that   is            at  once  exhilarating ,  silly  ,  perverse  ,  hopeful  and   always  fun  .",yes,yes,yes,yes,yes,yes,yes,yes
955,Positive,1,1,1,  The   long-range  appeal     of  ``   Minority  Report  ''    should   transcend    any  awards   it  bags  .,yes,yes,yes,yes,yes,yes,yes,yes
956,Positive,1,2,0,This    is   one   for   the  ages  .,yes,yes,yes,yes,yes,yes,yes,yes
957,Positive,1,2,1," -LRB-   A  -RRB-   superbly     controlled  ,    passionate  adaptation   of    Graham   Greene  's   1955  novel  .",yes,no,yes,yes,no,yes,yes,yes
958,Positive,1,2,0,  Much  monkeyfun   for  all  .,yes,yes,yes,yes,yes,yes,yes,yes
959,Positive,1,2,-1, An   enchanting   film   that     presents    an   audacious  tour   of   the  past  and   takes   within   its  warm    embrace    the  bounties   of    cultural  artifacts   inside    St.   Petersburg  's Hermitage Museum  .,yes,yes,yes,yes,yes,yes,yes,yes
962,Positive,1,2,1," The   Powers  team    has    fashioned    a  comedy   with   more  laughs   than    many  ,   no  question  .",yes,yes,yes,yes,yes,yes,yes,yes
964,Positive,1,1,1," While   surprisingly  sincere   ,    this   average   little  story    is   adorned   with     some   awesome   action  photography  and  surfing  .",yes,yes,yes,no,yes,yes,yes,yes
965,Positive,1,1,1,"It    is    far   from     the  worst  ,   thanks   to    the   topical  issues   it    raises  ,    the  performances   of    Stewart  and  Hardy    ,  and   that     essential  feature  --   a  (3 decent (3 full-on  space  battle  .",yes,yes,yes,no,yes,yes,yes,yes
967,Positive,1,1,1,  A   pleasurably   jacked-up  piece   of   action  moviemaking  .,yes,yes,yes,no,yes,yes,yes,yes
968,Positive,1,2,1," Nicolas  Philibert     observes   life   inside    a   one-room  schoolhouse   in   northern  France   in      his   documentary     To  Be  and   to  Have  ,  easily   one   of    the   best  films   of (2 (2 the year  .",yes,yes,yes,yes,yes,yes,yes,yes
